#time,accel_x,accel_y,accel_z
678.025388,-2163.111630,995.414202,-9035.298138
678.027836,2890.529701,4153.940034,-8537.591037
678.030285,-363.709035,727.418070,-8480.163294
678.032795,-2392.822600,-3254.238736,-9418.149754
678.035304,516.849682,-6489.334891,-8920.442653
678.037814,-172.283227,7599.604578,-8288.737486
678.040324,-918.843878,2507.678085,-9092.725880
678.042834,287.138712,-4249.652938,-9111.868461
678.045343,-2163.111630,-995.414202,-8901.300072
678.047853,-689.132909,8595.018779,-8537.591037
678.050363,3675.375514,1033.699363,-8307.880067
678.052873,-1569.691626,-2986.242605,-8786.444587
678.055383,-612.562586,6010.770371,-9245.866526
678.057892,3349.951640,1703.689691,-8288.737486
678.060402,-1320.838075,1531.406464,-7637.889739
678.062912,-1052.841944,-861.416136,-9437.292334
678.065422,3043.670347,1033.699363,-9265.009107
678.067931,-1225.125171,6106.483275,-8116.454259
678.070441,-76.570323,11045.269122,-7963.313613
678.072951,3598.805190,248.853550,-8480.163294
678.075461,-2488.535504,-9150.153622,-9456.434915
678.077970,-2086.541307,401.994197,-9915.856854
678.080480,4919.643266,4766.502619,-8327.022648
678.082990,-421.136778,6183.053598,-7580.461997
678.085500,-2813.959378,-2067.398726,-9762.716208
678.088009,2833.101958,-3790.230998,-9552.147819
678.090519,401.994197,8231.309744,-7771.887805
678.093029,-2967.100024,5742.774240,-7905.885870
678.095539,1148.554848,-3081.955509,-9265.009107
678.098048,-1148.554848,-2622.533570,-9399.007173
678.100558,-2565.105827,7484.749093,-9073.583299
678.103068,1741.974853,-3273.381317,-8614.161360
678.105578,-1856.830338,3981.656806,-8231.309744
678.108087,-2086.541307,1282.552914,-9724.431046
678.110597,2431.107762,-4019.941968,-9111.868461
678.113107,-995.414202,5130.211654,-7905.885870
678.115617,-229.710970,7312.465866,-8365.307810
678.118126,3273.381317,5895.914886,-8461.020714
678.120636,1646.261949,-516.849682,-8652.446522
678.123146,-5589.633594,-3445.664544,-8767.302006
678.125656,2986.242605,-4843.072942,-9475.577496
678.128166,-1167.697429,-2469.392923,-8154.739421
678.130675,-1550.549045,12442.677520,-8614.161360
678.133224,3311.666478,-7408.178770,-9284.151688
678.135772,-2335.394858,421.136778,-8480.163294
678.138321,-995.414202,-7025.327154,-9360.722011
678.140869,4115.654872,11408.978157,-7886.743290
678.143418,1818.545176,-7178.467800,-8441.878133
678.145966,-3771.088418,1665.404530,-9265.009107
678.148515,3407.379382,-5934.200048,-9762.716208
678.151063,440.279358,7274.180704,-7197.610381
678.153612,-2699.103893,-3120.240670,-8537.591037
678.156160,4307.080680,957.129040,-9399.007173
678.158709,-650.847747,-2775.674216,-9399.007173
678.161257,-2411.965181,1933.400661,-8346.165229
678.163806,2545.963246,-2201.396792,-7848.458128
678.166354,4096.512291,3866.801322,-8709.874264
678.168903,-631.705166,6585.047795,-9628.718142
678.171451,1493.121302,-2469.392923,-8556.733618
678.174000,3081.955509,516.849682,-7044.469734
678.176548,689.132909,7867.600709,-8135.596840
678.179097,3981.656806,1014.556782,-9801.001370
678.181645,-267.996131,-6336.194245,-9341.579430
678.184194,-1301.695494,4019.941968,-8097.311678
678.186742,4919.643266,1301.695494,-7580.461997
678.189291,3388.236802,5666.203917,-8997.012976
678.191839,-2373.680019,746.560651,-9781.858789
678.194388,-784.845813,-2048.256146,-8671.589102
678.196936,2660.818731,-497.707101,-7369.893608
678.199485,-1799.402595,1914.258080,-8633.303941
678.202033,325.423874,-4460.221326,-10470.991698
678.204582,-38.285162,-918.843878,-8958.727814
678.207130,-4173.082614,1263.410333,-8288.737486
678.209679,2297.109696,-2833.101958,-8997.012976
678.212227,-803.988394,1091.127106,-8633.303941
678.214776,-823.130974,5034.498750,-9150.153622
678.217324,823.130974,-5168.496816,-8729.016845
678.219873,3445.664544,10088.140082,-7408.178770
678.222421,-3081.955509,-363.709035,-8863.014910
678.224970,1914.258080,5474.778109,-9303.294269
678.227518,593.420005,-12595.818166,-9475.577496
678.230067,-2009.970984,9743.573627,-7791.030386
678.232615,4000.799387,2871.387120,-8537.591037
678.235093,918.843878,4421.936165,-7982.456194
678.237570,-1875.972918,-4594.219392,-9743.573627
678.240048,497.707101,2029.113565,-9035.298138
678.242526,2986.242605,-957.129040,-7905.885870
678.245003,-2890.529701,5455.635528,-7503.891674
678.247481,1627.119368,3732.803256,-9494.720077
678.249958,2967.100024,-6546.762634,-9820.143950
678.252436,-2775.674216,10183.852986,-8078.169098
678.254913,2545.963246,1646.261949,-7523.034254
678.257391,918.843878,2373.680019,-8039.883936
678.259868,-1741.974853,-3713.660675,-10241.280728
678.262346,-1493.121302,4249.652938,-9054.440718
678.264823,1416.550979,-5761.916821,-7389.036189
678.267301,-2756.531635,3273.381317,-7848.458128
678.269778,-1895.115499,-3905.086483,-10604.989763
678.272256,3177.668413,2603.390989,-9590.432981
678.274733,-3732.803256,3235.096155,-8020.741355
678.277211,-1091.127106,401.994197,-7714.460062
678.279688,976.271621,-3043.670347,-8901.300072
678.282166,-1110.269686,6776.473603,-10164.710405
678.284643,210.568389,6163.911018,-8575.876198
678.287121,2488.535504,440.279358,-7082.754896
678.289598,-2354.537438,-344.566454,-8461.020714
678.292076,1071.984525,3445.664544,-10260.423309
678.294553,1818.545176,-4115.654872,-9303.294269
678.297031,-2029.113565,4268.795518,-7791.030386
678.299508,-574.277424,1895.115499,-8346.165229
678.301986,1320.838075,-5015.356170,-8805.587168
678.304463,-1129.412267,3885.943902,-9513.862658
678.306941,2526.820666,4785.645200,-9092.725880
678.309418,3464.807125,7542.176835,-7178.467800
678.311896,38.285162,1052.841944,-8384.450390
678.314373,-4575.076811,-4173.082614,-9801.001370
678.316851,2718.246474,-7580.461997,-10049.854920
678.319328,-2852.244539,478.564520,-7714.460062
678.321806,325.423874,12212.966550,-7982.456194
678.324283,2641.676150,-7312.465866,-9169.296203
678.326761,-4345.365842,478.564520,-9839.286531
678.329238,746.560651,-7025.327154,-9686.145885
678.331716,2699.103893,9743.573627,-7121.040058
678.334237,153.140646,-6872.186507,-8269.594906
678.336759,-4019.941968,-593.420005,-10375.278794
678.339280,4096.512291,-6757.331022,-9934.999435
