#time,accel_x,accel_y,accel_z
824.641652,-421.136778,3943.371645,-8786.444587
824.644183,-3732.803256,1416.550979,-8786.444587
824.646714,842.273555,-2201.396792,-9341.579430
824.649245,842.273555,-535.992262,-8748.159426
824.651776,133.998066,1837.687757,-7714.460062
824.654308,9360.722011,-1148.554848,-9494.720077
824.656839,-11102.696864,995.414202,-8537.591037
824.659370,-1971.685822,2163.111630,-8365.307810
824.661901,-918.843878,1263.410333,-9934.999435
824.664432,-3388.236802,478.564520,-8958.727814
824.666964,4881.358104,3024.527766,-8135.596840
824.669495,7810.172966,-1282.552914,-7733.602643
824.672026,-2469.392923,-3062.812928,-8116.454259
824.674557,-3522.234867,5895.914886,-8977.870395
824.677088,1493.121302,2335.394858,-9552.147819
824.679619,-4536.791650,-2967.100024,-9169.296203
824.682151,-957.129040,2029.113565,-7982.456194
824.684682,7293.323285,765.703232,-7944.171032
824.687213,5608.776174,0.000000,-8652.446522
824.689744,-2852.244539,-2067.398726,-8346.165229
824.692288,478.564520,2201.396792,-8575.876198
824.694838,-1990.828403,287.138712,-9456.434915
824.697388,4000.799387,1282.552914,-8786.444587
824.699938,-2756.531635,1473.978722,-8518.448456
824.702488,-3024.527766,-2641.676150,-11332.407834
824.705039,-8441.878133,2526.820666,-9590.432981
824.707589,-2373.680019,4747.360038,-8212.167163
824.710139,4345.365842,-3809.373579,-9724.431046
824.712689,-5761.916821,-5091.926493,-8939.585234
824.715239,-8154.739421,1512.263883,-7427.321350
824.717789,9437.292334,3177.668413,-8537.591037
824.720340,2699.103893,-3349.951640,-8901.300072
824.722890,-4555.934230,1531.406464,-7963.313613
824.725440,-1607.976787,1856.830338,-8384.450390
824.727990,-421.136778,1282.552914,-9437.292334
824.730540,-3579.662610,2756.531635,-8518.448456
824.733090,-459.421939,-1684.547110,-8212.167163
824.735641,5608.776174,-3254.238736,-9571.290400
824.738191,-2718.246474,2794.816797,-7542.176835
824.740741,-2009.970984,3981.656806,-9073.583299
824.743291,287.138712,-2029.113565,-9858.429112
824.745841,-8384.450390,650.847747,-8997.012976
